"LT","Age","ReefZone","Category","n","Total","Abundance"
"A1A2","Modern","Reef edge","ACB",1,52,0.0192307692307692
"A1A2","Modern","Reef edge","CB",14,52,0.269230769230769
"A1A2","Modern","Reef edge","CD",1,52,0.0192307692307692
"A1A2","Modern","Reef edge","CE",1,52,0.0192307692307692
"A1A2","Modern","Reef edge","CM",9,52,0.173076923076923
"A1A2","Modern","Reef edge","CME",26,52,0.5
"A3A4","Modern","Reef edge","ACB",2,41,0.048780487804878
"A3A4","Modern","Reef edge","CB",14,41,0.341463414634146
"A3A4","Modern","Reef edge","CE",1,41,0.024390243902439
"A3A4","Modern","Reef edge","CM",7,41,0.170731707317073
"A3A4","Modern","Reef edge","CME",17,41,0.414634146341463
"A5A6","Modern","Reef edge","ACB",2,61,0.0327868852459016
"A5A6","Modern","Reef edge","CB",22,61,0.360655737704918
"A5A6","Modern","Reef edge","CE",3,61,0.0491803278688525
"A5A6","Modern","Reef edge","CM",28,61,0.459016393442623
"A5A6","Modern","Reef edge","CME",6,61,0.0983606557377049
"B1B2","Modern","Shallow reef slope","ACB",2,64,0.03125
"B1B2","Modern","Shallow reef slope","ACD",2,64,0.03125
"B1B2","Modern","Shallow reef slope","CB",15,64,0.234375
"B1B2","Modern","Shallow reef slope","CE",19,64,0.296875
"B1B2","Modern","Shallow reef slope","CF",1,64,0.015625
"B1B2","Modern","Shallow reef slope","CM",18,64,0.28125
"B1B2","Modern","Shallow reef slope","CME",5,64,0.078125
"B1B2","Modern","Shallow reef slope","Other",2,64,0.03125
"B3B4","Modern","Shallow reef slope","ACB",6,68,0.0882352941176471
"B3B4","Modern","Shallow reef slope","CB",11,68,0.161764705882353
"B3B4","Modern","Shallow reef slope","CE",22,68,0.323529411764706
"B3B4","Modern","Shallow reef slope","CM",29,68,0.426470588235294
"B5B6","Modern","Shallow reef slope","ACB",6,47,0.127659574468085
"B5B6","Modern","Shallow reef slope","CB",10,47,0.212765957446809
"B5B6","Modern","Shallow reef slope","CE",18,47,0.382978723404255
"B5B6","Modern","Shallow reef slope","CM",11,47,0.234042553191489
"B5B6","Modern","Shallow reef slope","CME",1,47,0.0212765957446809
"B5B6","Modern","Shallow reef slope","CMR",1,47,0.0212765957446809
"C1C2","Modern","Deeper reef slope","ACB",5,97,0.0515463917525773
"C1C2","Modern","Deeper reef slope","CB",4,97,0.0412371134020619
"C1C2","Modern","Deeper reef slope","CE",38,97,0.391752577319588
"C1C2","Modern","Deeper reef slope","CM",45,97,0.463917525773196
"C1C2","Modern","Deeper reef slope","CME",5,97,0.0515463917525773
"C3C4","Modern","Deeper reef slope","ACB",6,73,0.0821917808219178
"C3C4","Modern","Deeper reef slope","ACD",3,73,0.0410958904109589
"C3C4","Modern","Deeper reef slope","CB",5,73,0.0684931506849315
"C3C4","Modern","Deeper reef slope","CE",18,73,0.246575342465753
"C3C4","Modern","Deeper reef slope","CF",1,73,0.0136986301369863
"C3C4","Modern","Deeper reef slope","CM",40,73,0.547945205479452
"C5C6","Modern","Deeper reef slope","ACB",6,86,0.0697674418604651
"C5C6","Modern","Deeper reef slope","CB",9,86,0.104651162790698
"C5C6","Modern","Deeper reef slope","CE",12,86,0.13953488372093
"C5C6","Modern","Deeper reef slope","CM",58,86,0.674418604651163
"C5C6","Modern","Deeper reef slope","CME",1,86,0.0116279069767442
"D1D2","Modern","Reef edge","ACB",2,67,0.0298507462686567
"D1D2","Modern","Reef edge","CB",11,67,0.164179104477612
"D1D2","Modern","Reef edge","CD",3,67,0.0447761194029851
"D1D2","Modern","Reef edge","CE",2,67,0.0298507462686567
"D1D2","Modern","Reef edge","CM",36,67,0.537313432835821
"D1D2","Modern","Reef edge","CME",13,67,0.194029850746269
